parking_lot_id,hour_of_day,day_of_week,is_weekend,current_occupancy,total_slots,bookings_last_hour,occupancy_percentage
10,10,0,0,60,72,6,83.8
14,23,0,0,15,185,3,8.13
14,15,4,0,110,185,15,59.4
2,3,6,1,11,147,0,7.23
19,0,6,1,0,290,1,0.0
20,0,5,1,0,209,0,0.0
23,8,4,0,82,157,12,52.55
27,19,3,0,76,105,12,72.8
15,16,2,0,130,225,18,57.57
18,23,3,0,5,72,0,6.38
27,5,5,1,33,105,6,31.48
10,12,1,0,54,72,5,74.8
19,7,5,1,19,290,5,6.65
1,21,2,0,45,153,3,29.49
18,19,4,0,70,72,7,97.56
8,0,0,0,6,84,0,6.68
29,1,3,0,15,280,1,5.4
15,17,4,0,124,225,15,55.33
25,23,1,0,174,206,22,84.62
20,14,6,1,171,209,22,81.65
5,15,6,1,26,95,2,26.85
7,23,2,0,11,113,0,9.78
13,4,6,1,1,148,0,0.98
30,11,4,0,147,251,15,58.66
13,18,1,0,137,148,19,92.37
4,14,4,0,174,203,23,85.81
5,16,2,0,75,95,9,78.66
13,6,0,0,22,148,0,14.75
25,8,3,0,139,206,15,67.68
20,12,2,0,91,209,11,43.49
25,17,3,0,152,206,20,73.57
20,1,1,0,4,209,2,1.68
19,10,6,1,228,290,25,78.58
20,2,0,0,4,209,0,1.74
18,14,5,1,62,72,6,85.59
1,9,0,0,125,153,15,81.8
3,20,2,0,9,101,4,8.93
12,16,5,1,190,236,22,80.32
14,17,1,0,82,185,12,44.37
13,16,2,0,64,148,9,43.4
4,6,6,1,17,203,2,8.6
12,13,0,0,136,236,15,57.74
16,8,2,0,58,229,7,25.43
6,4,3,0,0,108,3,0.0
12,14,1,0,128,236,14,54.3
22,23,4,0,88,101,9,86.72
3,19,1,0,28,101,6,27.45
25,3,5,1,187,206,22,90.92
23,12,4,0,70,157,11,44.83
15,20,2,0,167,225,17,74.03
26,6,6,1,0,200,0,0.0
18,7,1,0,4,72,0,5.25
19,16,0,0,150,290,15,51.61
23,3,4,0,117,157,13,74.22
21,8,2,0,123,175,13,70.38
23,2,2,0,130,157,18,82.72
24,16,2,0,82,234,9,35.24
16,21,3,0,121,229,16,52.64
9,4,5,1,38,244,3,15.72
30,19,4,0,227,251,28,90.24
29,0,2,0,78,280,10,27.91
4,5,4,0,12,203,0,5.81
16,10,1,0,55,229,5,23.86
28,7,1,0,133,252,14,52.81
8,20,6,1,0,84,3,0.0
6,3,6,1,11,108,0,10.14
23,10,4,0,78,157,12,49.92
26,6,0,0,33,200,6,16.35
23,8,5,1,125,157,16,79.59
28,11,0,0,171,252,20,67.9
25,0,1,0,170,206,18,82.67
28,6,4,0,91,252,11,36.05
13,1,3,0,11,148,2,7.58
20,3,4,0,6,209,0,2.64
24,19,4,0,103,234,15,44.03
25,18,1,0,138,206,17,67.18
3,5,5,1,0,101,3,0.47
16,22,6,1,33,229,2,14.31
3,21,5,1,0,101,0,0.0
23,10,2,0,57,157,4,36.39
23,14,0,0,39,157,6,24.55
11,14,1,0,64,114,6,55.81
4,10,0,0,150,203,18,73.97
26,8,3,0,64,200,5,32.0
19,22,5,1,37,290,5,12.9
2,8,0,0,48,147,7,32.88
18,0,1,0,4,72,0,5.44
27,10,2,0,64,105,8,61.21
4,3,6,1,0,203,3,0.0
1,11,6,1,28,153,6,18.08
22,16,4,0,28,101,2,27.38
30,20,0,0,243,251,32,96.8
7,19,5,1,15,113,1,13.54
27,11,6,1,100,105,14,94.84
20,15,3,0,130,209,18,62.08
7,23,3,0,24,113,0,21.34
7,17,1,0,113,113,16,100.0
23,21,0,0,135,157,19,86.17
10,13,4,0,49,72,8,67.41
15,11,3,0,93,225,14,41.39
16,8,0,0,73,229,10,31.87
17,12,5,1,138,187,16,73.59
27,23,2,0,25,105,3,23.51
26,19,0,0,148,200,18,74.19
23,10,4,0,36,157,7,23.18
16,10,3,0,38,229,4,16.8
27,19,0,0,88,105,10,83.76
1,5,4,0,15,153,1,9.76
2,22,2,0,12,147,4,8.47
18,5,4,0,0,72,0,0.0
15,8,5,1,17,225,0,7.72
26,23,5,1,98,200,10,49.21
1,6,2,0,2,153,0,1.2
17,15,4,0,88,187,13,47.04
12,7,2,0,0,236,2,0.0
2,21,4,0,13,147,4,8.81
8,2,1,0,3,84,3,3.06
22,22,5,1,82,101,8,81.62
25,9,3,0,57,206,9,27.91
19,22,2,0,116,290,16,40.15
27,20,0,0,79,105,11,75.29
4,23,6,1,12,203,0,5.75
19,16,5,1,256,290,33,88.16
2,12,3,0,119,147,14,80.81
27,17,1,0,75,105,7,71.85
2,9,1,0,135,147,19,91.95
20,15,2,0,79,209,10,37.68
8,1,0,0,9,84,2,10.52
1,14,3,0,126,153,17,82.48
24,10,6,1,78,234,9,33.15
9,18,0,0,114,244,13,46.66
10,6,4,0,2,72,0,2.62
16,6,6,1,27,229,2,11.6
11,20,4,0,89,114,13,78.1
24,8,3,0,189,234,21,80.85
18,0,5,1,3,72,0,4.07
27,0,1,0,9,105,0,8.1
7,9,1,0,74,113,6,65.11
8,22,6,1,7,84,0,8.18
10,13,3,0,43,72,8,60.39
1,18,6,1,0,153,0,0.0
19,18,2,0,249,290,27,85.71
16,15,3,0,137,229,18,59.87
28,8,6,1,160,252,19,63.41
18,14,0,0,35,72,5,49.3
1,13,6,1,21,153,3,13.54
27,7,4,0,66,105,7,63.06
19,12,2,0,185,290,20,63.66
19,11,1,0,122,290,15,41.98
27,6,2,0,1,105,3,1.32
24,11,6,1,42,234,4,17.86
19,23,3,0,26,290,5,8.83
13,16,3,0,92,148,11,62.39
2,13,4,0,76,147,7,52.02
15,22,4,0,98,225,10,43.74
15,21,0,0,109,225,11,48.34
12,19,0,0,198,236,24,83.94
23,8,3,0,106,157,13,67.26
14,23,3,0,12,185,2,6.72
9,0,4,0,9,244,0,3.8
3,8,3,0,41,101,4,40.83
27,7,5,1,44,105,4,41.75
18,8,4,0,21,72,5,29.17
2,5,2,0,8,147,2,5.58
17,22,1,0,98,187,11,52.58
23,17,0,0,104,157,10,66.06
22,20,4,0,84,101,13,83.47
7,6,1,0,10,113,0,8.41
17,18,3,0,128,187,16,68.45
26,16,6,1,155,200,18,77.65
10,4,6,1,11,72,1,14.7
2,20,6,1,3,147,1,2.04
26,23,4,0,38,200,3,18.99
11,2,0,0,7,114,1,6.03
10,10,6,1,4,72,0,4.87
8,13,0,0,56,84,8,66.79
13,12,1,0,111,148,15,74.93
7,9,6,1,3,113,1,2.97
6,9,0,0,99,108,13,91.32
28,22,6,1,79,252,9,31.48
9,3,2,0,25,244,3,10.33
4,5,0,0,15,203,1,7.63
25,0,5,1,174,206,20,84.64
17,5,2,0,3,187,0,1.86
1,6,6,1,5,153,2,3.22
23,11,2,0,57,157,5,36.32
10,5,3,0,11,72,0,15.11
28,0,0,0,61,252,6,24.12
15,19,1,0,225,225,29,100.0
5,22,6,1,0,95,1,0.0
18,23,4,0,12,72,3,17.0
5,11,3,0,77,95,10,81.17
16,20,2,0,171,229,22,74.61
19,1,4,0,33,290,3,11.51
4,18,5,1,10,203,4,5.12
28,13,6,1,150,252,16,59.38
26,13,5,1,180,200,22,89.91
12,0,0,0,15,236,0,6.33
10,14,2,0,53,72,8,73.81
30,20,4,0,236,251,28,93.97
10,10,1,0,54,72,4,75.11
21,11,3,0,50,175,3,28.31
4,23,1,0,0,203,3,0.0
23,22,5,1,157,157,21,100.0
28,4,1,0,36,252,2,14.15
17,2,4,0,0,187,1,0.0
29,22,6,1,53,280,9,19.11
8,3,1,0,5,84,0,5.93
28,11,2,0,178,252,19,70.56
16,2,2,0,2,229,0,0.66
24,0,0,0,213,234,23,91.14
18,10,6,1,51,72,6,71.43
10,10,5,1,16,72,1,22.22
8,17,4,0,54,84,6,63.89
24,22,1,0,181,234,21,77.53
17,23,1,0,14,187,0,7.49
5,7,6,1,1,95,0,1.09
23,18,6,1,93,157,10,59.43
22,13,4,0,51,101,7,50.77
22,3,2,0,95,101,14,94.26
28,8,1,0,139,252,16,55.22
7,17,4,0,96,113,11,85.39
10,14,1,0,59,72,6,82.14
28,5,1,0,61,252,10,24.08
2,9,5,1,18,147,0,12.58
28,14,2,0,186,252,24,73.89
22,13,0,0,17,101,4,16.93
9,5,3,0,5,244,0,2.1
10,2,1,0,9,72,2,12.14
12,15,2,0,167,236,21,70.95
18,12,6,1,50,72,6,69.42
1,18,2,0,64,153,5,41.65
10,16,3,0,62,72,10,85.54
26,23,0,0,50,200,4,25.23
30,5,6,1,19,251,2,7.72
15,16,6,1,178,225,22,78.91
28,12,3,0,161,252,22,63.93
21,14,5,1,58,175,10,33.41
26,8,3,0,77,200,7,38.6
11,21,6,1,81,114,12,70.96
8,0,2,0,11,84,3,13.28
8,11,0,0,74,84,9,88.24
4,2,0,0,0,203,0,0.0
28,11,0,0,186,252,21,73.92
6,10,5,1,2,108,0,1.5
29,2,4,0,37,280,2,13.09
23,9,4,0,40,157,4,25.26
22,12,5,1,30,101,4,30.09
24,2,2,0,204,234,24,87.03
21,4,1,0,134,175,18,76.65
15,7,5,1,29,225,3,12.86
23,15,1,0,64,157,7,40.94
10,5,6,1,1,72,2,1.94
18,22,2,0,31,72,1,43.62
30,4,1,0,30,251,1,12.07
19,3,3,0,25,290,5,8.72
15,16,1,0,110,225,15,48.97
22,15,5,1,23,101,4,23.08
8,5,2,0,3,84,0,3.73
27,11,5,1,84,105,10,80.02
22,22,3,0,99,101,10,97.82
22,22,2,0,86,101,13,84.73
18,15,3,0,41,72,5,56.85
2,12,3,0,83,147,7,56.15
13,7,1,0,4,148,2,2.69
12,22,6,1,0,236,2,0.0
6,13,3,0,55,108,6,50.65
3,2,2,0,5,101,0,5.44
20,21,6,1,139,209,15,66.53
23,5,3,0,130,157,17,82.95
20,13,0,0,90,209,12,43.25
6,8,4,0,23,108,4,20.89
8,0,3,0,0,84,2,0.0
26,20,1,0,145,200,17,72.41
8,11,0,0,70,84,6,82.84
9,5,1,0,2,244,3,0.63
8,15,1,0,61,84,7,72.99
1,2,3,0,8,153,0,5.42
3,15,0,0,76,101,8,74.81
18,10,2,0,22,72,2,29.87
23,14,5,1,30,157,3,18.89
22,0,3,0,94,101,11,93.09
29,7,0,0,106,280,14,37.72
29,23,6,1,85,280,13,30.25
11,6,5,1,13,114,0,11.66
7,18,3,0,40,113,6,35.75
4,23,4,0,0,203,0,0.0
2,8,6,1,29,147,1,19.97
2,3,6,1,7,147,0,4.82
23,21,4,0,129,157,15,81.89
4,19,5,1,30,203,4,15.0
24,2,5,1,204,234,25,87.25
22,20,5,1,89,101,9,87.72
5,10,2,0,78,95,10,81.85
29,1,5,1,41,280,5,14.52
25,10,5,1,22,206,2,10.54
26,20,0,0,175,200,20,87.32
8,7,4,0,23,84,1,27.53
28,16,0,0,200,252,23,79.19
10,18,6,1,13,72,2,18.54
9,4,4,0,0,244,2,0.0
5,23,3,0,6,95,0,5.84
15,22,6,1,28,225,6,12.28
16,14,2,0,122,229,14,53.41
7,3,4,0,6,113,1,5.23
12,21,5,1,143,236,19,60.61
15,19,4,0,185,225,23,82.11
21,3,2,0,166,175,19,95.09
4,4,3,0,1,203,0,0.49
16,4,3,0,4,229,0,1.68
15,11,6,1,170,225,18,75.55
8,21,5,1,8,84,0,9.6
19,22,6,1,0,290,0,0.1
27,19,2,0,93,105,11,88.97
6,6,6,1,2,108,0,1.76
30,20,4,0,157,251,16,62.6
18,2,6,1,0,72,1,0.0
25,16,2,0,85,206,11,41.45
14,18,5,1,176,185,22,95.06
7,19,0,0,34,113,3,29.8
15,16,2,0,99,225,13,43.82
20,8,3,0,53,209,4,25.47
14,23,0,0,36,185,7,19.7
13,14,1,0,84,148,8,56.61
16,15,1,0,154,229,19,67.25
30,2,0,0,73,251,7,29.1
12,23,6,1,47,236,8,19.92
12,14,6,1,182,236,21,76.94
30,9,4,0,210,251,26,83.57
1,6,4,0,6,153,0,4.03
12,2,6,1,0,236,0,0.1
23,16,4,0,33,157,1,21.23
13,7,6,1,0,148,0,0.0
11,17,5,1,109,114,12,95.41
16,10,3,0,57,229,4,25.03
2,20,3,0,21,147,3,13.99
15,11,5,1,193,225,23,85.95
11,8,1,0,21,114,0,18.68
26,11,5,1,120,200,17,59.98
30,12,3,0,207,251,26,82.58
10,23,4,0,5,72,0,6.46
22,17,3,0,75,101,8,74.65
7,10,4,0,88,113,11,77.75
14,13,0,0,81,185,10,43.83
19,13,4,0,126,290,18,43.45
30,18,0,0,208,251,22,82.78
15,20,2,0,166,225,18,73.57
24,9,4,0,40,234,2,17.27
19,10,0,0,94,290,12,32.39
2,5,3,0,5,147,0,3.16
1,12,6,1,1,153,0,0.44
30,12,0,0,150,251,17,59.67
3,8,4,0,40,101,6,39.74
29,16,0,0,165,280,20,58.78
15,13,1,0,112,225,14,49.84
4,20,0,0,26,203,5,12.77
26,19,3,0,152,200,18,75.88
26,23,3,0,57,200,5,28.58
28,10,0,0,208,252,27,82.54
9,18,1,0,154,244,16,63.09
2,12,0,0,88,147,9,59.81
9,10,2,0,213,244,25,87.37
12,5,3,0,0,236,3,0.0
22,15,3,0,31,101,4,30.77
27,12,1,0,61,105,7,57.94
9,22,1,0,68,244,11,27.93
15,10,0,0,74,225,7,32.86
16,5,5,1,0,229,3,0.0
19,11,1,0,139,290,19,47.84
9,9,5,1,0,244,0,0.0
26,17,6,1,178,200,20,88.76
18,8,4,0,19,72,3,25.85
25,8,6,1,115,206,13,56.0
19,10,6,1,224,290,27,77.11
1,8,5,1,28,153,6,18.0
3,2,5,1,5,101,0,5.19
17,15,3,0,107,187,15,57.22
22,7,2,0,43,101,4,42.11
16,22,2,0,121,229,14,52.7
16,1,3,0,19,229,0,8.3
13,4,6,1,0,148,0,0.0
11,21,4,0,31,114,3,27.53
14,17,6,1,177,185,19,95.41
22,22,6,1,79,101,12,78.53
16,23,4,0,36,229,3,15.9
21,1,2,0,175,175,23,100.0
6,18,5,1,22,108,1,20.36
20,17,1,0,139,209,18,66.69
4,2,6,1,5,203,0,2.3
14,20,5,1,126,185,16,68.03
18,22,5,1,11,72,2,15.58
22,1,1,0,92,101,8,90.73
21,14,3,0,35,175,5,19.9
25,17,6,1,131,206,13,63.55
18,4,1,0,9,72,0,12.33
16,15,1,0,159,229,21,69.32
3,8,0,0,42,101,8,41.38
16,5,5,1,27,229,2,11.73
8,15,1,0,64,84,7,76.43
22,2,0,0,101,101,11,100.0
28,0,4,0,44,252,4,17.47
18,10,6,1,72,72,9,99.91
19,3,4,0,10,290,0,3.28
24,6,1,0,150,234,19,64.19
7,1,4,0,0,113,0,0.0
7,4,2,0,23,113,1,20.02
11,18,6,1,114,114,13,100.0
7,12,1,0,80,113,7,70.5
27,22,5,1,24,105,4,22.97
23,2,1,0,136,157,17,86.56
13,19,2,0,111,148,11,75.32
11,13,0,0,45,114,3,39.16
22,13,5,1,42,101,5,41.11
1,23,6,1,0,153,3,0.0
25,12,2,0,63,206,5,30.65
13,16,0,0,96,148,14,64.82
29,14,1,0,189,280,20,67.42
7,1,1,0,0,113,3,0.0
16,20,6,1,116,229,14,50.5
22,16,5,1,5,101,0,5.02
22,1,2,0,85,101,8,84.29
26,8,1,0,96,200,9,48.19
28,10,4,0,209,252,26,83.08
10,8,3,0,11,72,3,14.62
23,7,2,0,89,157,12,56.94
7,7,1,0,53,113,6,47.21
30,3,0,0,30,251,4,12.03
3,11,5,1,17,101,5,16.84
6,18,6,1,2,108,3,1.81
24,21,3,0,176,234,21,75.28
28,1,5,1,64,252,7,25.41
15,16,4,0,165,225,18,73.2
9,0,2,0,5,244,1,2.16
13,21,2,0,70,148,11,47.3
11,1,3,0,0,114,0,0.0
1,7,1,0,27,153,5,17.47
12,2,6,1,9,236,0,3.72
7,5,6,1,6,113,3,5.45
10,12,4,0,46,72,7,64.58
27,18,6,1,76,105,10,72.25
2,5,5,1,5,147,2,3.16
6,19,6,1,18,108,2,16.26
26,5,4,0,38,200,3,19.01
9,9,0,0,223,244,26,91.49
28,3,0,0,38,252,6,14.99
6,5,6,1,0,108,2,0.0
5,1,0,0,2,95,3,2.39
24,0,4,0,196,234,22,83.62
25,17,6,1,120,206,15,58.31
4,11,6,1,0,203,0,0.0
5,8,2,0,37,95,6,38.8
7,5,1,0,12,113,4,10.76
18,6,0,0,0,72,1,0.0
7,20,5,1,9,113,0,8.37
22,20,0,0,85,101,8,84.65
24,5,0,0,213,234,25,90.96
12,16,1,0,138,236,15,58.57
1,4,0,0,16,153,2,10.58
29,11,3,0,179,280,24,64.01
11,5,2,0,0,114,1,0.0
22,21,6,1,97,101,10,96.16
7,13,2,0,76,113,10,66.84
1,20,4,0,21,153,4,13.8
22,23,0,0,98,101,13,96.69
8,10,6,1,15,84,2,18.07
9,16,5,1,34,244,3,13.98
24,13,4,0,81,234,7,34.53
29,3,1,0,9,280,0,3.16
19,18,2,0,217,290,29,74.81
1,20,4,0,16,153,3,10.19
8,2,6,1,2,84,0,2.2
23,9,5,1,61,157,10,38.84
7,16,6,1,4,113,0,3.86
17,14,1,0,109,187,12,58.22
24,19,0,0,128,234,17,54.68
1,6,5,1,0,153,3,0.0
28,6,4,0,22,252,5,8.64
5,2,1,0,14,95,0,15.26
18,23,0,0,3,72,0,3.5
4,11,2,0,142,203,17,69.78
8,22,0,0,8,84,1,9.9
12,5,5,1,0,236,0,0.0
10,2,0,0,7,72,1,9.06
29,15,0,0,219,280,25,78.18
11,0,2,0,3,114,0,2.21
7,5,4,0,0,113,0,0.0
3,9,6,1,17,101,1,17.04
21,21,4,0,144,175,20,82.27
30,19,1,0,183,251,22,72.71
14,18,0,0,161,185,18,86.87
11,18,6,1,114,114,15,100.0
27,12,2,0,66,105,10,62.86
1,12,4,0,118,153,13,76.93
23,12,5,1,42,157,3,26.93
9,10,2,0,211,244,28,86.39
26,15,1,0,130,200,15,65.21
10,3,6,1,9,72,0,12.12
13,3,0,0,19,148,5,12.92
2,4,6,1,0,147,0,0.15
12,7,1,0,25,236,2,10.59
3,1,1,0,0,101,0,0.0
21,9,2,0,37,175,7,21.03
21,20,1,0,154,175,20,88.22
11,9,5,1,17,114,5,14.85
27,5,0,0,17,105,3,16.11
26,19,2,0,156,200,18,78.11
20,14,4,0,126,209,17,60.21
8,10,4,0,68,84,11,80.78
24,5,2,0,195,234,22,83.2
1,2,4,0,2,153,0,1.4
11,23,2,0,9,114,3,7.96
1,16,4,0,140,153,14,91.65
1,9,5,1,18,153,4,11.54
18,9,0,0,11,72,0,15.75
10,16,6,1,18,72,0,25.19
3,13,2,0,65,101,6,64.15
19,6,0,0,41,290,2,14.18
10,5,0,0,0,72,0,0.0
6,1,5,1,12,108,0,11.36
20,13,1,0,85,209,9,40.52
21,16,4,0,41,175,2,23.46
22,3,5,1,86,101,9,85.07
10,20,6,1,8,72,3,10.45
3,8,0,0,28,101,6,27.87
3,1,5,1,10,101,0,9.47
25,10,4,0,54,206,6,26.18
3,20,6,1,9,101,1,8.72
27,21,3,0,34,105,7,32.57
20,19,4,0,132,209,16,63.21
12,19,4,0,168,236,22,71.14
29,3,6,1,0,280,3,0.0
30,12,3,0,169,251,21,67.22
24,2,2,0,170,234,20,72.62
7,9,1,0,85,113,12,75.41
8,9,0,0,63,84,9,74.77
8,10,4,0,64,84,9,76.11
27,19,0,0,71,105,10,67.78
20,11,1,0,101,209,11,48.55
6,12,0,0,63,108,5,58.59
18,15,2,0,41,72,2,57.15
14,11,5,1,134,185,18,72.44
7,8,6,1,8,113,0,7.28
4,13,1,0,114,203,14,56.06
26,11,1,0,110,200,15,55.23
21,8,3,0,88,175,11,50.49
23,13,0,0,31,157,2,19.93
30,19,0,0,194,251,26,77.38
4,15,0,0,170,203,20,83.75
24,20,6,1,194,234,22,82.92
24,0,2,0,179,234,23,76.3
15,8,6,1,72,225,6,31.84
19,22,2,0,124,290,15,42.71
6,13,5,1,12,108,0,10.86
17,23,6,1,29,187,4,15.35
26,0,1,0,51,200,4,25.73
24,9,5,1,142,234,16,60.76
17,18,4,0,159,187,19,84.9
12,21,0,0,133,236,17,56.4
30,5,0,0,29,251,1,11.71
13,23,1,0,5,148,0,3.38
19,2,6,1,12,290,4,4.15
23,23,2,0,151,157,17,96.29
15,14,1,0,96,225,14,42.82
18,7,5,1,0,72,0,0.0
30,0,6,1,44,251,8,17.42
17,15,0,0,107,187,14,57.41
4,22,0,0,19,203,1,9.29
3,2,2,0,16,101,4,15.65
15,3,5,1,21,225,1,9.27
13,11,4,0,68,148,9,46.18
28,0,1,0,38,252,2,14.92
24,18,0,0,166,234,22,70.77
6,23,0,0,21,108,4,19.75
24,12,1,0,79,234,11,33.68
28,21,0,0,19,252,4,7.67
30,17,5,1,178,251,22,70.8
26,11,5,1,114,200,15,56.77
5,3,5,1,3,95,2,3.65
8,0,3,0,9,84,0,10.87
15,1,2,0,12,225,2,5.29
24,6,6,1,113,234,15,48.15
6,23,4,0,17,108,2,15.32
15,13,5,1,178,225,20,78.93
3,20,0,0,18,101,2,17.37
10,2,1,0,0,72,3,0.0
10,6,3,0,0,72,0,0.0
14,5,3,0,11,185,2,5.83
23,18,3,0,89,157,13,56.75
2,2,2,0,0,147,0,0.0
2,12,3,0,91,147,10,62.06
27,5,1,0,22,105,2,20.61
5,5,2,0,9,95,0,9.06
17,12,6,1,112,187,14,59.77
30,12,6,1,182,251,24,72.49
18,4,5,1,6,72,3,8.5
3,23,0,0,15,101,1,14.89
17,16,1,0,87,187,12,46.68
25,16,4,0,68,206,8,33.1
28,5,0,0,80,252,7,31.85
3,4,3,0,0,101,3,0.03
4,21,2,0,23,203,2,11.5
20,0,2,0,1,209,0,0.53
18,19,4,0,57,72,9,79.81
10,12,3,0,50,72,5,69.32
23,11,6,1,36,157,3,22.69
27,7,5,1,35,105,6,32.96
28,21,0,0,48,252,3,18.93
21,9,6,1,41,175,6,23.52
6,9,4,0,80,108,7,74.39
9,4,5,1,22,244,0,9.22
13,3,0,0,0,148,0,0.0
10,0,6,1,0,72,1,0.0
23,9,1,0,26,157,4,16.65
18,17,0,0,30,72,3,41.29
30,23,3,0,79,251,10,31.35
18,11,2,0,48,72,7,66.74
16,7,2,0,0,229,0,0.0
7,8,4,0,28,113,3,24.56
18,10,4,0,28,72,3,39.4
5,0,4,0,12,95,4,13.15
11,5,5,1,13,114,4,11.4
29,10,4,0,211,280,27,75.4
20,0,6,1,41,209,2,19.74
3,10,6,1,1,101,0,0.89
20,21,4,0,89,209,12,42.36
5,14,3,0,90,95,12,94.56
20,4,5,1,2,209,0,1.19
20,2,6,1,9,209,4,4.16
16,0,5,1,0,229,0,0.0
25,5,0,0,182,206,19,88.5
11,2,3,0,13,114,4,11.58
28,0,3,0,51,252,5,20.44
8,7,1,0,24,84,4,28.26
24,13,3,0,111,234,15,47.62
20,10,3,0,60,209,5,28.88
21,10,1,0,76,175,12,43.34
14,20,4,0,111,185,14,59.75
13,17,6,1,128,148,13,86.29
15,11,5,1,172,225,20,76.32
3,4,5,1,2,101,0,2.25
6,3,6,1,2,108,1,1.53
16,14,2,0,115,229,16,50.16
4,5,4,0,12,203,2,5.87
1,0,1,0,2,153,2,1.25
8,13,1,0,67,84,6,80.15
9,20,5,1,26,244,6,10.64
7,15,6,1,0,113,2,0.0
21,15,6,1,86,175,12,48.98
15,13,4,0,88,225,11,39.02
28,3,3,0,6,252,1,2.28
28,17,3,0,187,252,21,74.28
7,1,0,0,0,113,2,0.0
21,11,2,0,40,175,2,22.59
20,19,5,1,149,209,17,71.37
8,8,2,0,32,84,5,37.94
2,14,1,0,143,147,15,97.03
26,12,1,0,156,200,18,78.22
22,7,5,1,55,101,6,54.2
23,14,5,1,62,157,10,39.4
19,17,3,0,180,290,21,61.96
4,2,1,0,6,203,3,3.17
15,22,0,0,137,225,15,61.09
18,17,3,0,32,72,5,44.9
13,0,5,1,0,148,0,0.0
14,15,0,0,129,185,16,69.58
20,12,2,0,126,209,15,60.35
8,15,2,0,59,84,9,70.19
27,21,2,0,23,105,1,22.25
24,18,4,0,139,234,14,59.21
5,23,0,0,8,95,0,8.34
20,11,3,0,60,209,8,28.62
3,23,4,0,10,101,0,9.85
8,13,1,0,43,84,3,51.7
25,1,0,0,187,206,21,90.97
12,22,3,0,69,236,11,29.16
25,2,0,0,170,206,18,82.69
7,5,3,0,7,113,2,6.29
18,3,1,0,4,72,0,6.12
14,6,2,0,14,185,4,7.42
24,1,2,0,178,234,20,76.06
6,16,3,0,81,108,12,75.3
12,12,1,0,88,236,13,37.24
26,16,6,1,156,200,19,78.19
21,6,3,0,115,175,14,65.99
19,1,1,0,6,290,3,2.02
16,6,2,0,22,229,0,9.44
6,21,1,0,22,108,3,20.37
14,18,4,0,117,185,13,63.48
20,14,2,0,116,209,15,55.6
30,21,0,0,61,251,10,24.4
5,20,6,1,3,95,3,2.64
29,3,6,1,68,280,8,24.29
21,8,4,0,102,175,12,58.28
22,23,1,0,101,101,12,100.0
11,23,4,0,11,114,3,9.21
28,0,1,0,67,252,7,26.71
5,0,5,1,0,95,2,0.0
7,1,1,0,6,113,0,5.43
22,8,5,1,54,101,5,53.56
25,0,3,0,178,206,22,86.36
5,7,4,0,13,95,3,13.58
6,11,6,1,17,108,0,15.36
2,6,5,1,0,147,0,0.0
26,15,5,1,146,200,20,73.18
30,12,2,0,194,251,26,77.44
27,15,6,1,74,105,9,70.8
14,12,1,0,107,185,10,57.8
19,22,4,0,73,290,9,25.24
22,20,3,0,73,101,11,72.51
22,0,2,0,76,101,10,74.92
11,5,5,1,3,114,0,2.23
12,5,1,0,26,236,1,10.92
7,4,1,0,4,113,0,3.74
15,9,1,0,72,225,10,32.06
15,1,2,0,31,225,6,13.97
21,18,0,0,108,175,14,61.83
